Scheduler,Avg Wait (ms),Max Wait (ms),Avg Exec (ms),Avg Turnaround (ms),Makespan (ms),Throughput (gates/s),GPU Util (%),circuit,batch,Jain's,Avg Slowdown,Max Slowdown,Wtd Slowdown
SJF (batch blocking),9.2551,95.3303,0.0232,9.2783,155.687,10461.3125,0.8388,imbalanced_3,32,0.9999,431.6094,4740.958,988.0978
FIFO (single-gate non-blocking),10.1594,23.7639,0.1569,10.3163,162.2982,10060.0254,76.3613,imbalanced_3,32,0.9988,179.6115,1345.8989,342.7692
fanin_priority (single-gate non-blocking),6.8135,153.6855,0.1558,6.9693,161.1616,10118.7188,76.3529,imbalanced_3,32,0.9956,54.6933,7058.4268,65.1783
DependencyAware (single-gate non-blocking),26.4293,180.0251,0.2155,26.6447,223.7959,7295.7642,76.1964,imbalanced_3,32,1,135.6458,1880.3571,234.2506
SJF (single-gate non-blocking),9.367,116.2837,0.1602,9.5271,165.8232,9912.1729,76.388,imbalanced_3,32,0.9999,105.3498,4582.71,215.1835
FIFO (batch non-blocking),6.6292,25.9521,3.0543,9.6836,154.6408,10542.0283,64.0483,imbalanced_3,32,0.9988,68.7217,381.8507,145.0776
fanin_priority (batch non-blocking),6.7578,38.5158,2.9382,9.696,155.6085,10449.3721,74.0515,imbalanced_3,32,0.9989,33.6039,212.4734,82.4887
DependencyAware (batch non-blocking),10.6494,42.199,4.1603,14.8098,178.718,9100.3379,69.2147,imbalanced_3,32,0.999,9.635,52.8484,20.2547
SJF (batch non-blocking),6.7855,39.4782,3.1618,9.9474,154.2525,10550.1465,72.0954,imbalanced_3,32,0.9993,32.8841,251.069,55.9633
level-level task execution,0.0394,0.062,0.0241,0.0635,0.4253,3845666,69.0709,imbalanced_3,32,0.9972,3.0546,5.0071,6.1717
FIFO (batch blocking),3.4753,15.8795,0.0255,3.5008,173.2511,10117.5996,1.0225,c6288,128,,,,
fanin_priority (batch blocking),3.5651,29.3261,0.0246,3.5897,172.9156,10207.8496,1.0203,c6288,128,,,,
DependencyAware (batch blocking),4.3792,22.5673,0.0268,4.406,182.9877,9581.749,1.0108,c6288,128,,,,
SJF (batch blocking),3.5073,28.1988,0.0248,3.5321,171.8352,10219.5029,1.0099,c6288,128,,,,
FIFO (single-gate non-blocking),4.114,26.3422,0.1557,4.2697,176.5946,9934.126,75.7694,c6288,128,,,,
fanin_priority (single-gate non-blocking),1.2157,154.7451,0.1611,1.3768,183.7133,9583.4316,75.6197,c6288,128,,,,
DependencyAware (single-gate non-blocking),6.096,146.7754,0.1737,6.2697,195.6013,8946.1504,75.8484,c6288,128,,,,
SJF (single-gate non-blocking),3.6645,79.4049,0.1584,3.823,181.3946,9686.2139,75.3905,c6288,128,,,,
FIFO (batch non-blocking),2.5145,12.4007,0.9524,3.4669,172.3265,10199.46,8.375,c6288,128,,,,
fanin_priority (batch non-blocking),2.5349,25.3269,0.9879,3.5228,171.5064,10218.7979,8.7983,c6288,128,,,,
DependencyAware (batch non-blocking),2.8997,12.415,1.643,4.5427,183.3622,9635.0527,13.7616,c6288,128,,,,
SJF (batch non-blocking),2.5432,24.5136,0.9531,3.4963,172.7264,10133.1699,8.4868,c6288,128,,,,
level-level task execution,0.0134,0.0167,0.0189,0.0323,0.2766,6449758,62.2354,c6288,128,,,,
FIFO (batch blocking),0.2213,0.5284,0.0161,0.2374,4.8409,57966.4258,7.0184,c1908,512,,,,
fanin_priority (batch blocking),0.2266,0.531,0.0161,0.2427,4.9215,56936.2266,6.8447,c1908,512,,,,
DependencyAware (batch blocking),0.2501,0.5702,0.0158,0.2659,5.1959,53902.9688,6.3589,c1908,512,,,,
SJF (batch blocking),0.2192,0.5206,0.016,0.2353,4.7661,58758.0078,6.9265,c1908,512,,,,
FIFO (single-gate non-blocking),0.2774,0.6916,0.0365,0.3139,5.8699,47710.6484,81.0041,c1908,512,,,,
fanin_priority (single-gate non-blocking),0.1917,2.2418,0.0362,0.2279,6.0331,46431.1133,79.6782,c1908,512,,,,
DependencyAware (single-gate non-blocking),0.4229,1.6669,0.0411,0.464,6.8969,40620.4844,79.244,c1908,512,,,,
SJF (single-gate non-blocking),0.2397,2.0583,0.0368,0.2765,6.109,45904.5234,79.6734,c1908,512,,,,
FIFO (batch non-blocking),0.2126,0.5219,0.0178,0.2304,4.6826,59804.0547,7.6763,c1908,512,,,,
fanin_priority (batch non-blocking),0.2184,0.521,0.0213,0.2396,4.8729,57530.5625,8.6649,c1908,512,,,,
DependencyAware (batch non-blocking),0.2132,0.5091,0.0533,0.2665,5.1885,53977.9688,16.2908,c1908,512,,,,
SJF (batch non-blocking),0.2167,0.5308,0.0214,0.2381,4.8446,57834.707,8.7886,c1908,512,,,,
level-level task execution,0.0092,0.012,0.0159,0.0251,0.1762,1598358.25,62.9903,c1908,512,,,,
FIFO (batch blocking),0.3733,1.2682,0.0221,0.3954,6.9552,44163.7578,6.6018,c880,128,,,,
fanin_priority (batch blocking),0.3836,1.2828,0.0225,0.4062,7.0845,43370.9336,6.6274,c880,128,,,,
DependencyAware (batch blocking),0.5196,1.5361,0.0232,0.5427,8.3897,36960.6172,5.7742,c880,128,,,,
SJF (batch blocking),0.3898,1.3307,0.0218,0.4116,7.1487,43018.4922,6.4636,c880,128,,,,
FIFO (single-gate non-blocking),0.5337,1.6908,0.0513,0.585,9.0033,34104.8242,81.1636,c880,128,,,,
fanin_priority (single-gate non-blocking),0.5014,4.4069,0.0528,0.5542,9.3643,32826.1094,81.2505,c880,128,,,,
DependencyAware (single-gate non-blocking),1.2636,8.2111,0.0646,1.3282,11.6737,26331.8242,79.795,c880,128,,,,
SJF (single-gate non-blocking),0.4671,2.7856,0.0568,0.5239,9.9246,31723.8477,81.4267,c880,128,,,,
FIFO (batch non-blocking),0.3643,1.2423,0.0271,0.3914,6.9065,44455.0938,7.5083,c880,128,,,,
fanin_priority (batch non-blocking),0.3696,1.2734,0.0344,0.404,7.0487,43564.4844,8.6087,c880,128,,,,
DependencyAware (batch non-blocking),0.3629,1.2276,0.1589,0.5218,7.9195,38769.1523,19.6499,c880,128,,,,
SJF (batch non-blocking),0.364,1.2389,0.0344,0.3984,6.9843,43959.5352,8.6757,c880,128,,,,
level-level task execution,0.0144,0.0221,0.0201,0.0345,0.2049,1506707.25,58.0428,c880,128,,,,
FIFO (batch blocking),7.5627,16.9608,0.032,7.5947,118.6423,12393.9863,0.4909,c7552,512,,,,
fanin_priority (batch blocking),7.5546,16.9402,0.0311,7.5857,117.8742,12485.6553,0.4817,c7552,512,,,,
DependencyAware (batch blocking),9.2058,19.2725,0.0338,9.2396,134.4807,10939.4316,0.4329,c7552,512,,,,
SJF (batch blocking),7.4911,16.2939,0.0319,7.5229,117.4477,12518.3467,0.5,c7552,512,,,,
FIFO (single-gate non-blocking),8.6893,18.1834,0.1335,8.8228,124.7746,11783.5908,76.5764,c7552,512,,,,
fanin_priority (single-gate non-blocking),4.905,120.2863,0.1335,5.0386,125.1665,11752.9668,76.4262,c7552,512,,,,
DependencyAware (single-gate non-blocking),18.7382,149.1996,0.1823,18.9205,172.1501,8566.8984,76.0518,c7552,512,,,,
SJF (single-gate non-blocking),7.0797,101.013,0.1374,7.2171,128.5233,11528.6709,76.6297,c7552,512,,,,
FIFO (batch non-blocking),7.6565,17.0909,0.0441,7.7006,120.2764,12293.8389,0.6309,c7552,512,,,,
fanin_priority (batch non-blocking),7.7235,16.7377,0.0819,7.8054,121.7948,12167.0059,1.0079,c7552,512,,,,
DependencyAware (batch non-blocking),7.8021,16.8399,1.6932,9.4953,138.7526,10695.0029,12.7088,c7552,512,,,,
SJF (batch non-blocking),7.5364,16.6058,0.0797,7.6161,118.8217,12361.3086,1.0244,c7552,512,,,,
level-level task execution,0.0144,0.0259,0.0202,0.0345,0.2284,6581197.5,59.1055,c7552,512,,,,
FIFO (batch blocking),4.7462,11.6575,0.023,4.7691,86.9186,13837.9639,1.2076,balanced_1,32,0.9952,222.126,609.5897,444.4983
fanin_priority (batch blocking),4.2885,52.964,0.0224,4.3109,86.2283,13961.8223,1.191,balanced_1,32,0.9992,205.869,2579.4019,321.864
DependencyAware (batch blocking),8.9129,59.7262,0.0242,8.9371,106.6493,11261.7646,1.0038,balanced_1,32,0.9986,392.755,2862.3606,780.6864
SJF (batch blocking),4.574,37.56,0.0238,4.5978,88.3393,13587.8643,1.2564,balanced_1,32,0.993,207.1107,1825.4993,449.6373
FIFO (single-gate non-blocking),5.2942,12.9033,0.1251,5.4192,94.603,12744.0254,76.871,balanced_1,32,0.9968,97.2836,671.4403,190.2895
fanin_priority (single-gate non-blocking),2.4205,72.1034,0.1241,2.5446,94.4612,12811.5879,76.5954,balanced_1,32,0.9874,25.1909,905.7114,39.1742
DependencyAware (single-gate non-blocking),11.1145,90.903,0.1499,11.2644,114.5943,10456.5293,76.2918,balanced_1,32,1,82.412,516.4645,159.5644
SJF (single-gate non-blocking),4.0446,53.3265,0.1188,4.1634,90.2551,13290.7422,76.7173,balanced_1,32,0.9647,60.9456,2657.8655,135.2386
FIFO (batch non-blocking),3.1119,12.459,1.7254,4.8373,86.9284,13887.0625,62.013,balanced_1,32,0.9962,48.5389,243.6501,101.8414
fanin_priority (batch non-blocking),3.0281,14.6061,1.6625,4.6906,85.7433,14062.6064,62.5085,balanced_1,32,0.9954,31.2351,146.2316,75.9849
DependencyAware (batch non-blocking),4.0492,14.8456,2.074,6.1232,93.7069,12863.958,66.0236,balanced_1,32,0.9969,9.8409,93.8885,21.5477
SJF (batch non-blocking),3.0901,15.0167,1.7417,4.8319,86.1809,13963.3467,65.2924,balanced_1,32,0.9965,27.6051,165.7935,54.1083
level-level task execution,0.0432,0.0645,0.0235,0.0667,0.4928,2486592.25,68.2456,balanced_1,32,0.9988,3.2814,4.9256,6.7741
FIFO (batch blocking),0.0029,0.0053,0.0141,0.0169,0.0882,150014.0781,75.7098,c17,128,,,,
fanin_priority (batch blocking),0.0034,0.006,0.0144,0.0177,0.093,144242,74.5393,c17,128,,,,
DependencyAware (batch blocking),0.0042,0.0056,0.0141,0.0183,0.0914,142637.9062,72.4976,c17,128,,,,
SJF (batch blocking),0.0032,0.0059,0.0135,0.0167,0.0878,149534.3438,74.2972,c17,128,,,,
FIFO (single-gate non-blocking),0.0059,0.028,0.0141,0.0201,0.1033,128400.5625,88.2884,c17,128,,,,
fanin_priority (single-gate non-blocking),0.0062,0.0279,0.0132,0.0195,0.1053,123505.75,87.2566,c17,128,,,,
DependencyAware (single-gate non-blocking),0.0083,0.0393,0.0149,0.0232,0.109,120955.6719,87.226,c17,128,,,,
SJF (single-gate non-blocking),0.0068,0.0293,0.0139,0.0207,0.1102,119221.8281,87.6105,c17,128,,,,
FIFO (batch non-blocking),0.0016,0.0042,0.0157,0.0173,0.0926,140605.9688,76.7979,c17,128,,,,
fanin_priority (batch non-blocking),0.0018,0.0043,0.0156,0.0174,0.0971,135714.4062,76.565,c17,128,,,,
DependencyAware (batch non-blocking),0.0017,0.0042,0.0167,0.0184,0.1024,128347.9766,76.0316,c17,128,,,,
SJF (batch non-blocking),0.0018,0.0048,0.0155,0.0173,0.0954,136755.1719,76.1138,c17,128,,,,
level-level task execution,0.008,0.0117,0.0153,0.0233,0.0973,134351.2812,61.4998,c17,128,,,,
FIFO (batch blocking),2.1965,5.9694,0.0259,2.2225,36.9881,20903.957,1.7133,c3540,512,,,,
fanin_priority (batch blocking),2.2364,6.1486,0.027,2.2634,37.5497,20553.3945,1.7991,c3540,512,,,,
DependencyAware (batch blocking),2.6049,6.2164,0.024,2.629,40.8209,18868.1621,1.5127,c3540,512,,,,
SJF (batch blocking),2.1597,5.9193,0.0233,2.1831,36.2462,21215.3691,1.6772,c3540,512,,,,
FIFO (single-gate non-blocking),2.5231,7.6792,0.0844,2.6074,40.2993,19194.5664,77.5274,c3540,512,,,,
fanin_priority (single-gate non-blocking),0.8355,22.2889,0.084,0.9195,40.307,19277.5352,77.1984,c3540,512,,,,
DependencyAware (single-gate non-blocking),5.6149,43.9549,0.1069,5.7219,51.6673,14912.4922,76.9935,c3540,512,,,,
SJF (single-gate non-blocking),2.0647,21.6368,0.0837,2.1483,39.9671,19296.043,77.641,c3540,512,,,,
FIFO (batch non-blocking),2.0946,5.669,0.0293,2.1238,35.6379,21591.6367,2.0239,c3540,512,,,,
fanin_priority (batch non-blocking),2.1451,5.7965,0.0471,2.1922,36.1062,21301.6914,2.5312,c3540,512,,,,
DependencyAware (batch non-blocking),2.0281,5.5498,0.4372,2.4652,38.1608,19998.7168,11.9651,c3540,512,,,,
SJF (batch non-blocking),2.0481,5.5909,0.0421,2.0902,35.1712,21788.0469,2.4736,c3540,512,,,,
level-level task execution,0.0177,0.0348,0.0226,0.0403,0.2378,3506584.75,60.0938,c3540,512,,,,
FIFO (batch blocking),19.9617,51.856,0.0338,19.9955,316.8036,7576.7881,0.3076,imbalanced_5,128,0.9999,588.9683,1596.6581,1140.2668
fanin_priority (batch blocking),15.8169,120.5485,0.0348,15.8517,326.607,7367.3657,0.3389,imbalanced_5,128,0.9998,453.1046,3341.5664,817.9603
DependencyAware (batch blocking),34.8019,224.7174,0.0368,34.8387,400.264,6036.3057,0.2688,imbalanced_5,128,0.9999,931.3693,6841.7373,1644.3411
SJF (batch blocking),19.6992,197.1232,0.0353,19.7345,337.7448,7198.7334,0.3125,imbalanced_5,128,0.9997,550.938,5704.8447,1154.6038
FIFO (single-gate non-blocking),23.0774,44.7164,0.2283,23.3057,355.7065,6839.5898,76.0256,imbalanced_5,128,0.9999,364.8204,2461.2019,689.3919
fanin_priority (single-gate non-blocking),10.4167,337.6623,0.2354,10.652,367.1955,6667.7407,76.0358,imbalanced_5,128,0.9937,52.1411,5649.5879,66.8022
DependencyAware (single-gate non-blocking),52.7955,431.0228,0.3173,53.1128,497.0587,4917.0659,75.7701,imbalanced_5,128,1,193.0781,4779.1465,313.8948
SJF (single-gate non-blocking),16.6411,246.6909,0.2315,16.8727,361.5714,6749.4912,75.989,imbalanced_5,128,1,181.9536,12319.3232,348.6398
FIFO (batch non-blocking),16.1805,40.5997,4.9804,21.161,333.4814,7262.5063,43.1684,imbalanced_5,128,0.9999,233.259,562.0377,488.9678
fanin_priority (batch non-blocking),14.5114,40.0861,4.9598,19.4712,329.8181,7334.7803,43.1467,imbalanced_5,128,0.9999,105.9959,271.5752,236.3767
DependencyAware (batch non-blocking),18.7652,44.553,7.1935,25.9587,364.0661,6598.0415,49.6199,imbalanced_5,128,0.9999,12.7509,80.2911,26.7595
SJF (batch non-blocking),14.768,39.3592,4.7958,19.5638,320.514,7493.1641,43.0252,imbalanced_5,128,0.9999,113.2666,278.5105,223.5805
level-level task execution,0.0398,0.0601,0.0205,0.0603,0.4442,5424174.5,68.2448,imbalanced_5,128,0.9988,3.2848,5.0264,6.1976
FIFO (batch blocking),1.4822,5.4914,0.0296,1.5118,19.9796,28824.3438,1.9436,c2670,512,,,,
fanin_priority (batch blocking),1.4818,5.3552,0.0284,1.5102,20.0163,28849.416,1.8843,c2670,512,,,,
DependencyAware (batch blocking),2.4475,5.7172,0.0309,2.4783,25.0118,22925.5566,1.6176,c2670,512,,,,
SJF (batch blocking),1.5572,5.6224,0.0311,1.5884,21.2992,27135.5254,2.0318,c2670,512,,,,
FIFO (single-gate non-blocking),2.3177,6.734,0.0707,2.3884,24.1078,23988.1523,78.7926,c2670,512,,,,
fanin_priority (single-gate non-blocking),1.8855,23.3595,0.0715,1.957,24.5894,23512.3789,78.6395,c2670,512,,,,
DependencyAware (single-gate non-blocking),6.6233,30.9811,0.1094,6.7326,39.6113,15011.5596,76.4266,c2670,512,,,,
SJF (single-gate non-blocking),2.2187,15.1484,0.0752,2.2939,25.438,22901.5996,79.3452,c2670,512,,,,
FIFO (batch non-blocking),1.5251,5.4873,0.0417,1.5668,21.0071,27476.4258,2.622,c2670,512,,,,
fanin_priority (batch non-blocking),1.5948,6.082,0.1022,1.6969,21.7339,27027.875,3.8869,c2670,512,,,,
DependencyAware (batch non-blocking),1.4822,5.5122,0.9919,2.4741,24.834,23119.4727,21.0208,c2670,512,,,,
SJF (batch non-blocking),1.4878,5.5233,0.0649,1.5527,20.4706,28023.0059,3.2233,c2670,512,,,,
level-level task execution,0.0119,0.0166,0.021,0.0329,0.1962,2978542.5,60.5425,c2670,512,,,,
FIFO (batch blocking),0.0044,0.0076,0.0194,0.0238,0.1192,110535.8125,74.3012,c17,32,,,,
fanin_priority (batch blocking),0.0045,0.0083,0.0171,0.0216,0.1131,115244.1875,72.3034,c17,32,,,,
DependencyAware (batch blocking),0.0057,0.0078,0.017,0.0227,0.1161,112035.875,70.2645,c17,32,,,,
SJF (batch blocking),0.0048,0.0098,0.0173,0.0221,0.1172,111447.1719,71.1632,c17,32,,,,
FIFO (single-gate non-blocking),0.0097,0.0406,0.0192,0.0289,0.1491,87565.7188,85.818,c17,32,,,,
fanin_priority (single-gate non-blocking),0.0103,0.042,0.0191,0.0294,0.157,83162.1406,84.9201,c17,32,,,,
DependencyAware (single-gate non-blocking),0.0113,0.0508,0.0189,0.0302,0.1491,87358.2891,84.7582,c17,32,,,,
SJF (single-gate non-blocking),0.0097,0.0402,0.018,0.0278,0.1502,86703.1094,83.7483,c17,32,,,,
FIFO (batch non-blocking),0.0023,0.006,0.0202,0.0225,0.1241,104982.3516,73.8192,c17,32,,,,
fanin_priority (batch non-blocking),0.0024,0.0058,0.02,0.0224,0.1256,103905.3438,73.918,c17,32,,,,
DependencyAware (batch non-blocking),0.0024,0.0061,0.0236,0.026,0.1406,93802.1719,76.3939,c17,32,,,,
SJF (batch non-blocking),0.0024,0.0057,0.0198,0.0222,0.1262,103393.5,74.1211,c17,32,,,,
level-level task execution,0.0109,0.0164,0.0188,0.0298,0.1277,102512.8438,58.5557,c17,32,,,,
FIFO (batch blocking),0.1033,0.3893,0.0162,0.1194,2.2768,78250.2891,14.6626,c432,128,,,,
fanin_priority (batch blocking),0.1074,0.3893,0.0164,0.1238,2.3326,76383.8516,15.243,c432,128,,,,
DependencyAware (batch blocking),0.1488,0.4616,0.0168,0.1656,2.5977,68693.75,13.2109,c432,128,,,,
SJF (batch blocking),0.105,0.3848,0.0158,0.1208,2.2926,77547.0391,14.9184,c432,128,,,,
FIFO (single-gate non-blocking),0.1955,0.6035,0.03,0.2255,3.1065,57474.8242,80.099,c432,128,,,,
fanin_priority (single-gate non-blocking),0.1992,1.1128,0.0303,0.2295,3.112,57584.1484,80.2751,c432,128,,,,
DependencyAware (single-gate non-blocking),0.2712,0.9458,0.0347,0.306,3.6156,49773.4258,79.5464,c432,128,,,,
SJF (single-gate non-blocking),0.1902,0.9212,0.0296,0.2198,3.1198,57554.1875,79.363,c432,128,,,,
FIFO (batch non-blocking),0.1071,0.4329,0.0204,0.1275,2.3788,75625.9844,16.3537,c432,128,,,,
fanin_priority (batch non-blocking),0.1029,0.3981,0.0229,0.1259,2.3695,75463.9297,17.5146,c432,128,,,,
DependencyAware (batch non-blocking),0.1013,0.3897,0.0629,0.1642,2.6437,67557.2969,26.7104,c432,128,,,,
SJF (batch non-blocking),0.0996,0.3819,0.023,0.1226,2.3167,76875.3516,17.8818,c432,128,,,,
level-level task execution,0.01,0.0178,0.0161,0.0261,0.2055,867565.5,60.4254,c432,128,,,,
FIFO (batch blocking),8.5922,21.9674,0.0338,8.626,150.4146,10763.0586,0.5179,imbalanced_3,512,0.9987,253.7759,524.1981,540.3196
fanin_priority (batch blocking),8.6721,21.9362,0.0347,8.7067,151.2726,10697.708,0.5299,imbalanced_3,512,0.9987,252.7543,575.5668,536.6942
DependencyAware (batch blocking),10.421,23.9706,0.0405,10.4615,168.863,9583.2109,0.4835,imbalanced_3,512,0.9989,301.2538,641.3613,622.3017
SJF (batch blocking),8.6316,22.1847,0.0331,8.6647,149.9435,10792.375,0.5058,imbalanced_3,512,0.9987,261.0768,543.1099,555.4664
FIFO (single-gate non-blocking),9.8465,23.1159,0.1522,9.9988,158.1157,10284.3691,76.2515,imbalanced_3,512,0.9988,180.4014,1334.8645,345.0674
fanin_priority (single-gate non-blocking),6.6946,152.0309,0.1543,6.849,159.6379,10138.5938,76.4554,imbalanced_3,512,0.9954,54.3835,7729.6641,64.9417
DependencyAware (single-gate non-blocking),25.8882,177.1721,0.2114,26.0996,220.184,7351.6104,76.0294,imbalanced_3,512,1,136.075,1931.6052,234.6407
SJF (single-gate non-blocking),9.0981,113.3643,0.1536,9.2516,160.2996,10157.2812,76.1015,imbalanced_3,512,0.9999,109.1725,5212.665,223.7342
FIFO (batch non-blocking),8.4631,21.8946,0.0433,8.5064,149.5676,10813.3145,0.6159,imbalanced_3,512,0.9986,207.0476,398.2795,442.4175
fanin_priority (batch non-blocking),8.7122,22.829,0.086,8.7982,153.4274,10607.0986,0.9692,imbalanced_3,512,0.9986,112.5026,220.6548,241.2123
DependencyAware (batch non-blocking),8.75,22.4254,1.9665,10.7165,171.8117,9503.4443,11.8057,imbalanced_3,512,0.9989,13.1045,50.5313,28.1819
SJF (batch non-blocking),8.7221,22.4996,0.0897,8.8118,153.43,10591.5078,1.0077,imbalanced_3,512,0.9986,109.6132,220.5927,235.2572
level-level task execution,0.0416,0.0684,0.0258,0.0674,0.4491,3755282.5,70.8748,imbalanced_3,512,0.9973,3.0871,5.2563,6.2896
FIFO (batch blocking),2.2201,7.2944,0.0186,2.2387,34.7979,21947.8164,1.8805,c3540,32,,,,
fanin_priority (batch blocking),1.4818,11.2394,0.0172,1.4989,34.8111,21927.1816,1.9152,c3540,32,,,,
DependencyAware (batch blocking),3.7704,24.9972,0.0188,3.7892,42.5435,17981.8477,1.6178,c3540,32,,,,
SJF (batch blocking),2.0568,20.3806,0.0186,2.0754,35.0565,21801.8848,1.913,c3540,32,,,,
FIFO (single-gate non-blocking),2.37,7.1543,0.0793,2.4493,38.0539,20067.543,77.2946,c3540,32,,,,
fanin_priority (single-gate non-blocking),0.7975,21.015,0.0813,0.8787,38.839,19700.293,77.4421,c3540,32,,,,
DependencyAware (single-gate non-blocking),5.279,41.2099,0.1004,5.3795,48.5983,15706.1201,76.8887,c3540,32,,,,
SJF (single-gate non-blocking),1.9876,21.3301,0.081,2.0686,38.8501,19668.7188,77.3906,c3540,32,,,,
FIFO (batch non-blocking),1.4461,5.5186,0.6598,2.1058,34.2081,22324.2305,51.438,c3540,32,,,,
fanin_priority (batch non-blocking),1.469,5.6178,0.6692,2.1382,34.6229,22050.2754,51.34,c3540,32,,,,
DependencyAware (batch non-blocking),1.9802,6.028,0.905,2.8852,38.8863,19672.0586,56.2847,c3540,32,,,,
SJF (batch non-blocking),1.5,5.6513,0.6793,2.1793,34.5826,22068.3555,51.7482,c3540,32,,,,
level-level task execution,0.0117,0.02,0.02,0.0317,0.2063,3778120.75,60.8436,c3540,32,,,,
FIFO (batch blocking),2.5847,24.2878,0.0247,2.6094,166.1565,10522.873,0.9989,c6288,512,,,,
fanin_priority (batch blocking),2.651,25.0327,0.026,2.6769,172.6227,10158.8359,0.9799,c6288,512,,,,
DependencyAware (batch blocking),3.6195,24.9059,0.0251,3.6446,178.8072,9741.7285,0.9227,c6288,512,,,,
SJF (batch blocking),2.6546,25.1845,0.0264,2.681,172.0258,10189.2793,0.986,c6288,512,,,,
FIFO (single-gate non-blocking),4.1957,26.986,0.1594,4.355,180.2447,9718.9355,75.9027,c6288,512,,,,
fanin_priority (single-gate non-blocking),1.2367,156.4782,0.1617,1.3984,184.462,9467.7764,75.5556,c6288,512,,,,
DependencyAware (single-gate non-blocking),5.985,147.9277,0.1735,6.1585,195.3423,8965.6572,75.9159,c6288,512,,,,
SJF (single-gate non-blocking),3.6957,79.8848,0.1575,3.8532,180.8734,9744.208,75.3664,c6288,512,,,,
FIFO (batch non-blocking),2.6261,25.1621,0.0321,2.6582,171.4679,10213.8262,1.1195,c6288,512,,,,
fanin_priority (batch non-blocking),2.6219,24.8164,0.0517,2.6736,172.1739,10184.1074,1.4036,c6288,512,,,,
DependencyAware (batch non-blocking),2.6415,24.8758,1.0862,3.7277,183.4328,9549.9678,6.9395,c6288,512,,,,
SJF (batch non-blocking),2.7123,25.1974,0.0531,2.7655,178.1387,9842.9141,1.4822,c6288,512,,,,
level-level task execution,0.0116,0.0163,0.0184,0.03,0.2659,6700611.5,61.5098,c6288,512,,,,
FIFO (batch blocking),8.0357,15.4519,0.0212,8.0569,117.2232,12543.0381,0.8637,c7552,32,,,,
fanin_priority (batch blocking),5.7025,76.4798,0.0227,5.7253,119.5643,12307.0166,0.9463,c7552,32,,,,
DependencyAware (batch blocking),16.8474,120.6136,0.0234,16.8708,157.3054,9370.7188,0.679,c7552,32,,,,
SJF (batch blocking),6.6758,77.5777,0.021,6.6968,117.6261,12492.126,0.898,c7552,32,,,,
FIFO (single-gate non-blocking),8.9724,17.6097,0.1408,9.1132,131.236,11291.2529,76.7197,c7552,32,,,,
fanin_priority (single-gate non-blocking),5.1681,126.2909,0.1402,5.3082,131.2675,11279.9434,76.5698,c7552,32,,,,
DependencyAware (single-gate non-blocking),19.2096,154.1375,0.1881,19.3977,177.3013,8388.1055,76.1933,c7552,32,,,,
SJF (single-gate non-blocking),7.0838,100.5922,0.1357,7.2195,127.3712,11577.0605,76.4667,c7552,32,,,,
FIFO (batch non-blocking),5.5265,15.3708,2.5982,8.1247,117.5529,12495.3672,74.7368,c7552,32,,,,
fanin_priority (batch non-blocking),4.9471,21.2046,2.5526,7.4997,117.6596,12497.2988,68.3424,c7552,32,,,,
DependencyAware (batch non-blocking),8.2094,33.3553,3.5643,11.7738,137.0816,10755.7158,74.8647,c7552,32,,,,
SJF (batch non-blocking),5.1118,21.009,2.5448,7.6566,117.0861,12575.9688,72.6473,c7552,32,,,,
level-level task execution,0.0109,0.0188,0.018,0.0289,0.2006,7364670.5,60.8858,c7552,32,,,,
FIFO (batch blocking),18.7974,38.0595,0.038,18.8353,315.3141,7613.8125,0.2798,imbalanced_5,512,0.9999,483.1376,836.7623,978.0786
fanin_priority (batch blocking),19.4176,39.4915,0.0399,19.4575,325.1064,7393.686,0.2854,imbalanced_5,512,0.9999,477.719,840.0281,968.8391
DependencyAware (batch blocking),22.9772,44.056,0.0421,23.0192,367.0156,6577.8018,0.2598,imbalanced_5,512,0.9999,527.594,924.5806,1041.4081
SJF (batch blocking),20.1053,40.8631,0.0422,20.1475,335.2574,7261.0249,0.2732,imbalanced_5,512,0.9999,464.016,825.1263,942.1338
FIFO (single-gate non-blocking),23.3475,49.4162,0.2314,23.579,360.7644,6735.6226,76.0717,imbalanced_5,512,0.9999,359.3954,2618.9321,679.697
fanin_priority (single-gate non-blocking),10.3547,341.0567,0.2384,10.5931,371.2926,6562.3213,76.1401,imbalanced_5,512,0.9928,51.8144,5660.4229,66.3661
DependencyAware (single-gate non-blocking),53.791,441.6462,0.3253,54.1163,510.0914,4811.4893,75.6899,imbalanced_5,512,1,191.9607,4684.2759,311.8919
SJF (single-gate non-blocking),16.9896,254.3141,0.2366,17.2262,369.4428,6637.3579,76.0196,imbalanced_5,512,1,176.2778,11837.5352,340.4822
FIFO (batch non-blocking),20.6402,42.2026,0.059,20.6992,343.7142,7075.5601,0.3707,imbalanced_5,512,0.9999,351.4163,575.5927,715.3463
fanin_priority (batch non-blocking),20.2933,40.5607,0.1187,20.412,341.0085,7112.0796,0.6044,imbalanced_5,512,0.9999,179.0864,284.1332,367.6139
DependencyAware (batch non-blocking),19.9008,39.5403,3.5999,23.5007,372.0868,6502.5254,11.1716,imbalanced_5,512,0.9999,13.9838,80.713,29.3003
SJF (batch non-blocking),19.2297,39.0709,0.1131,19.3427,320.9379,7480.8374,0.5877,imbalanced_5,512,0.9999,180.2669,276.4159,370.3847
